Date,Province/State,Country,Confirmed,Deaths,Recovered,dayCount
02/19/2020,,Iran,2.0,2.0,0.0,0
02/20/2020,,Iran,5.0,2.0,0.0,1
02/21/2020,,Iran,18.0,4.0,0.0,2
02/22/2020,,Iran,28.0,5.0,0.0,3
02/23/2020,,Iran,43.0,8.0,0.0,4
02/24/2020,,Iran,61.0,12.0,0.0,5
02/25/2020,,Iran,95.0,16.0,0.0,6
02/26/2020,,Iran,139.0,19.0,49.0,7
02/27/2020,,Iran,245.0,26.0,49.0,8
02/28/2020,,Iran,388.0,34.0,73.0,9
02/29/2020,,Iran,593.0,43.0,123.0,10
03/01/2020,,Iran,978.0,54.0,175.0,11
03/02/2020,,Iran,1501.0,66.0,291.0,12
03/03/2020,,Iran,2336.0,77.0,291.0,13
03/04/2020,,Iran,2922.0,92.0,552.0,14
03/05/2020,,Iran,3513.0,107.0,739.0,15
03/06/2020,,Iran,4747.0,124.0,913.0,16
03/07/2020,,Iran,5823.0,145.0,1669.0,17
03/08/2020,,Iran,6566.0,194.0,2134.0,18
03/09/2020,,Iran,7161.0,237.0,2394.0,19
03/10/2020,,Iran,8042.0,291.0,2731.0,20
03/11/2020,,Iran,9000.0,354.0,2959.0,21
03/12/2020,,Iran,10075.0,429.0,2959.0,22
03/13/2020,,Iran,11364.0,514.0,2959.0,23
03/14/2020,,Iran,12729.0,611.0,2959.0,24
03/15/2020,,Iran,13938.0,724.0,4590.0,25
03/16/2020,,Iran,14991.0,853.0,4590.0,26
03/17/2020,,Iran,16169.0,988.0,5389.0,27
03/18/2020,,Iran,17361.0,1135.0,5389.0,28
03/19/2020,,Iran,18407.0,1284.0,5710.0,29
03/20/2020,,Iran,19644.0,1433.0,6745.0,30
03/21/2020,,Iran,20610.0,1556.0,7635.0,31
03/22/2020,,Iran,21638.0,1685.0,7931.0,32
03/23/2020,,Iran,23049.0,1812.0,8376.0,33
